Date,SP500,IBOV
2021-02-01,3773.860107421875,117365.0
2021-02-02,3826.31005859375,118234.0
2021-02-03,3830.169921875,119725.0
2021-02-04,3871.739990234375,119261.0
2021-02-05,3886.830078125,119925.0
2021-02-08,3915.590087890625,119516.0
2021-02-09,3911.22998046875,119429.0
2021-02-10,3909.8798828125,118430.0
2021-02-11,3916.3798828125,119235.0
2021-02-12,3934.830078125,119116.0
2021-02-16,3932.590087890625,
2021-02-17,3931.330078125,
2021-02-18,3913.969970703125,119140.0
2021-02-19,3906.7099609375,118748.0
2021-02-22,3876.5,112668.0
2021-02-23,3881.3701171875,115227.0
2021-02-24,3925.429931640625,115668.0
2021-02-25,3829.340087890625,112256.0
2021-02-26,3811.14990234375,110035.0
2021-03-01,3901.820068359375,110335.0
2021-03-02,3870.2900390625,111540.0
2021-03-03,3819.719970703125,111184.0
2021-03-04,3768.469970703125,112690.0
2021-03-05,3841.93994140625,115202.0
2021-03-08,3821.35009765625,110612.0
2021-03-09,3875.43994140625,111331.0
2021-03-10,3898.81005859375,112776.0
2021-03-11,3939.340087890625,114984.0
2021-03-12,3943.340087890625,114160.0
2021-03-15,3968.93994140625,114851.0
2021-03-16,3962.7099609375,114019.0
2021-03-17,3974.1201171875,116549.0
2021-03-18,3915.4599609375,114835.0
2021-03-19,3913.10009765625,116222.0
2021-03-22,3940.590087890625,114979.0
2021-03-23,3910.52001953125,113262.0
2021-03-24,3889.139892578125,112064.0
2021-03-25,3909.52001953125,113750.0
2021-03-26,3974.5400390625,114781.0
2021-03-29,3971.090087890625,115419.0
2021-03-30,3958.550048828125,116850.0
2021-03-31,3972.889892578125,116634.0
2021-04-01,4019.8701171875,115253.0
