Date,SP500,IBOV,YYYY-MM
2001-12-11,1136.760009765625,13348.0,2001-12
2001-12-12,1137.0699462890625,13563.0,2001-12
2001-12-13,1119.3800048828123,13148.0,2001-12
2001-12-14,1123.0899658203123,12959.0,2001-12
2001-12-17,1134.3599853515625,12912.0,2001-12
2001-12-18,1142.9200439453125,13397.0,2001-12
2001-12-19,1149.56005859375,13290.0,2001-12
2001-12-20,1139.9300537109375,12918.0,2001-12
2001-12-21,1144.8900146484375,13369.0,2001-12
2001-12-24,1144.6500244140625,,2001-12
2001-12-26,1149.3699951171875,13358.0,2001-12
2001-12-27,1157.1300048828125,13756.0,2001-12
2001-12-28,1161.02001953125,13578.0,2001-12
2001-12-31,1148.0799560546875,,2001-12
2002-01-02,1154.6700439453125,13872.0,2002-01
2002-01-03,1165.27001953125,14265.0,2002-01
2002-01-04,1172.510009765625,14332.0,2002-01
2002-01-07,1164.8900146484375,14379.0,2002-01
2002-01-08,1160.7099609375,14168.0,2002-01
2002-01-09,1155.1400146484375,14021.0,2002-01
2002-01-10,1156.550048828125,13570.0,2002-01
2002-01-11,1145.5999755859375,13587.0,2002-01
2002-01-14,1138.4100341796875,13122.0,2002-01
2002-01-15,1146.18994140625,13011.0,2002-01
2002-01-16,1127.5699462890625,13084.0,2002-01
2002-01-17,1138.8800048828125,13337.0,2002-01
2002-01-18,1127.5799560546875,13373.0,2002-01
2002-01-21,,13155.0,2002-01
2002-01-22,1119.31005859375,13004.0,2002-01
2002-01-23,1128.1800537109375,13232.0,2002-01
2002-01-24,1132.1500244140625,13162.0,2002-01
2002-01-25,1133.280029296875,,2002-01
2002-01-28,1133.06005859375,13002.0,2002-01
2002-01-29,1100.6400146484377,12501.0,2002-01
2002-01-30,1113.5699462890623,12532.0,2002-01
2002-01-31,1130.199951171875,12721.0,2002-01
2002-02-01,1122.199951171875,12659.0,2002-02
2002-02-04,1094.43994140625,12513.0,2002-02
2002-02-05,1090.02001953125,12748.0,2002-02
2002-02-06,1083.510009765625,12751.0,2002-02
2002-02-07,1080.1700439453123,12684.0,2002-02
2002-02-08,1096.219970703125,12598.0,2002-02
2002-02-11,1111.93994140625,,2002-02
2002-02-12,1107.5,,2002-02
2002-02-13,1118.510009765625,12961.0,2002-02
2002-02-14,1116.47998046875,13245.0,2002-02
2002-02-15,1104.1800537109377,13300.0,2002-02
2002-02-18,,13122.0,2002-02
2002-02-19,1083.3399658203123,12992.0,2002-02
2002-02-20,1097.97998046875,13303.0,2002-02
2002-02-21,1080.949951171875,13530.0,2002-02
2002-02-22,1089.8399658203123,13563.0,2002-02
2002-02-25,1109.4300537109377,13978.0,2002-02
2002-02-26,1109.3800048828123,13964.0,2002-02
2002-02-27,1109.8900146484377,14212.0,2002-02
2002-02-28,1106.72998046875,14033.0,2002-02
